"KRZAST","KSTRANA","PORCISLO","TITULPRED","JMENO","PRIJMENI","TITULZA","JMENOFULL","VEK","ZENY","TITUL","POVOLANI","BYDLISTEK","BYDLISTEN","NSTRANA","VSTRANA","NAZEVCELK","ZKRATKAK30","ZKRATKAK8","SLOZENI","POCHLASU","PROCHLASU","MANDAT","PORADIMAND","PORADINAHR"
5,77,3,"Ing.","MICHAL","KUČERA","","Ing. MICHAL KUČERA",51,FALSE,TRUE,"báňský inženýr, ekonom a radní města",565971,"Louny",721,1456,"SPOJENCI PRO KRAJ","JSMEPRO,LES,SNKED,ZELENÍ,TOP09","JP+LES+ED+Z+TOP","005,129,721,795,1126",706,5.77,"A",3,0
8,7,2,"Mgr.","HANA","ŠTĚPÁNOVÁ","","Mgr. HANA ŠTĚPÁNOVÁ",61,TRUE,TRUE,"radní Pardubického kraje, pedagožka",578428,"Morašice",166,166,"STAROSTOVÉ A NEZÁVISLÍ","STAROSTOVÉ A NEZÁVISLÍ","STAN","166",697,5.3,"A",2,0
5,63,8,"Ing.","JAROMÍR","KOHLÍČEK","CSc.","Ing. JAROMÍR KOHLÍČEK CSc.",67,FALSE,TRUE,"osoba samostatně výdělečně činná",567442,"Teplice",47,47,"KOMUNISTICKÁ STRANA ČECH A MORAVY","KOMUNISTICKÁ STR.ČECH A MORAVY","KSČM","047",696,5.55,"A",3,0
12,16,3,"Ing.","RADEK","HENNER","","Ing. RADEK HENNER",57,FALSE,TRUE,"plukovník generálního štábu ve výslužbě",549720,"Přílepy",1114,1114,"SVOBODA A PŘÍMÁ DEMOKRACIE (SPD)","SVOBODA A PŘ. DEMOKRACIE (SPD)","SPD","1114",681,5.86,"A",2,0
4,62,6,"Mgr.","JIŘÍ","KLSÁK","","Mgr. JIŘÍ KLSÁK",66,FALSE,TRUE,"archeolog, historik, krajský zastupitel",554961,"Karlovy Vary",166,659,"STAN - STAROSTOVÉ A NEZÁVISLÍ SPOLEČNĚ S KOA, VPM CHEB A TOP 09","KOALICE STAN, TOP 09","TOP+STAN","166,721",671,5.73,"A",6,0
6,16,1,"Mgr.","MICHAL","ŠVARC","","Mgr. MICHAL ŠVARC",48,FALSE,TRUE,"zastupitel města Jablonce nad Nisou, zástupce řed.",563510,"Jablonec nad Nisou",1114,1114,"SVOBODA A PŘÍMÁ DEMOKRACIE (SPD)","SVOBODA A PŘ. DEMOKRACIE (SPD)","SPD","1114",656,7.74,"A",1,0
3,16,1,"Ing.","MARIE","POŠAROVÁ","","Ing. MARIE POŠAROVÁ",40,TRUE,TRUE,"finanční analytička, účetní",555771,"Klatovy",1114,1114,"SVOBODA A PŘÍMÁ DEMOKRACIE (SPD)","SVOBODA A PŘ. DEMOKRACIE (SPD)","SPD","1114",639,5.95,"A",1,0
3,63,2,"Ing. et Ing.","JAN","BOZDĚCH","Ph.D.","Ing. et Ing. JAN BOZDĚCH Ph.D.",34,FALSE,TRUE,"starosta městyse Klenčí pod Čerchovem",553794,"Klenčí pod Čerchovem",47,47,"KOMUNISTICKÁ STRANA ČECH A MORAVY","KOMUNISTICKÁ STR.ČECH A MORAVY","KSČM","047",623,6.54,"A",2,0
4,49,10,"","LUBOŠ","POKORNÝ","","LUBOŠ POKORNÝ",43,FALSE,FALSE,"starosta",538795,"Krásná",112,112,"MÍSTNÍ HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST","MÍSTNÍ HNUTÍ ZA HARM. ROZVOJ","HNHRM","112",605,10.38,"A",3,0
4,19,2,"Ing. arch.","VOJTĚCH","FRANTA","","Ing. arch. VOJTĚCH FRANTA",35,FALSE,TRUE,"krajský zastupitel pro oblast lázeňství a CR",554642,"Mariánské Lázně",720,720,"ČESKÁ PIRÁTSKÁ STRANA","ČESKÁ PIRÁTSKÁ STRANA","PIRÁTI","720",583,6.31,"A",1,0
4,26,6,"","VÁCLAV","SKUHRAVÝ","","VÁCLAV SKUHRAVÝ",41,FALSE,FALSE,"profesionální sportovec, radní města Karlovy Vary",554961,"Karlovy Vary",1028,1451,"VOK - VOLBA PRO KRAJ S PODPOROU HNUTÍ KARLOVARÁCI","KOALICE VOK, KVC","KVC+VOK","1028,1118",566,10.89,"A",2,0
4,19,3,"","MARKÉTA","MONSPORTOVÁ","","MARKÉTA MONSPORTOVÁ",48,TRUE,FALSE,"vedoucí cestovní kanceláře, manažerka",539279,"Velká Hleďsebe",720,720,"ČESKÁ PIRÁTSKÁ STRANA","ČESKÁ PIRÁTSKÁ STRANA","PIRÁTI","720",559,6.05,"A",2,0
4,61,1,"Ing.","KAREL","JAKOBEC","","Ing. KAREL JAKOBEC",56,FALSE,TRUE,"radní Karlovarského kraje",560286,"Sokolov",53,210,"KOALICE ODS A KDU-ČSL S PODPOROU SOUKROMNÍKŮ","KOALICE ODS+KDU-ČSL","KDU-ČSL+ODS","001,053",490,8.34,"A",1,0
4,26,7,"MUDr.","JIŘÍ","BRDLÍK","","MUDr. JIŘÍ BRDLÍK",63,FALSE,TRUE,"lékař, zastupitel města Karlovy Vary a KVK",554961,"Karlovy Vary",1028,1451,"VOK - VOLBA PRO KRAJ S PODPOROU HNUTÍ KARLOVARÁCI","KOALICE VOK, KVC","KVC+VOK","1028,1118",480,9.23,"A",3,0
4,39,4,"Ing.","VÍT","HROMÁDKO","","Ing. VÍT HROMÁDKO",43,FALSE,TRUE,"starosta obce",538159,"Hájek",1129,1129,"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ 1 - STAROSTOVÉ NAŠEHO KRAJE","SNK1 - STAROSTOVÉ NAŠEHO KRAJE","SNK1","1129",476,10.93,"A",1,0
9,63,2,"","MAREK","NEVORAL","","MAREK NEVORAL",44,FALSE,FALSE,"předseda okresního výboru KSČM",591904,"Vladislav",47,47,"KOMUNISTICKÁ STRANA ČECH A MORAVY","KOMUNISTICKÁ STR.ČECH A MORAVY","KSČM","047",461,5.49,"A",1,0
9,63,7,"","JOSEF","ZAHRADNÍČEK","","JOSEF ZAHRADNÍČEK",63,FALSE,FALSE,"politik",591769,"Studenec",47,47,"KOMUNISTICKÁ STRANA ČECH A MORAVY","KOMUNISTICKÁ STR.ČECH A MORAVY","KSČM","047",455,5.42,"A",2,0
4,61,2,"Ing.","JAN","BUREŠ","","Ing. JAN BUREŠ",46,FALSE,TRUE,"radní Karlovarského kraje, starosta města Ostrov",555428,"Ostrov",53,210,"KOALICE ODS A KDU-ČSL S PODPOROU SOUKROMNÍKŮ","KOALICE ODS+KDU-ČSL","KDU-ČSL+ODS","001,053",448,7.63,"A",2,0
9,63,4,"","KAREL","DVOŘÁK","","KAREL DVOŘÁK",43,FALSE,FALSE,"předseda Okresního výboru KSČM Havlíčkův Brod",568759,"Chotěboř",47,47,"KOMUNISTICKÁ STRANA ČECH A MORAVY","KOMUNISTICKÁ STR.ČECH A MORAVY","KSČM","047",432,5.14,"A",3,0
4,39,3,"","EDUARD","FRISCH","","EDUARD FRISCH",57,FALSE,FALSE,"starosta obce, zkušební komisař zbraně a střelivo",555533,"Sadov",1129,1129,"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ 1 - STAROSTOVÉ NAŠEHO KRAJE","SNK1 - STAROSTOVÉ NAŠEHO KRAJE","SNK1","1129",429,9.85,"A",2,0
4,49,5,"Bc.","PAVEL","ČEKAN","","Bc. PAVEL ČEKAN",59,FALSE,TRUE,"vedoucí pracovník",555428,"Ostrov",112,112,"MÍSTNÍ HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST","MÍSTNÍ HNUTÍ ZA HARM. ROZVOJ","HNHRM","112",400,6.86,"A",4,0
4,39,2,"Bc.","JITKA","POKORNÁ","","Bc. JITKA POKORNÁ",57,TRUE,TRUE,"starostka města",555398,"Nová Role",1129,1129,"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ 1 - STAROSTOVÉ NAŠEHO KRAJE","SNK1 - STAROSTOVÉ NAŠEHO KRAJE","SNK1","1129",375,8.61,"A",3,0
4,61,3,"","OĽGA","HALÁKOVÁ","","OĽGA HALÁKOVÁ",72,TRUE,FALSE,"1. místostarostka města Bečov nad Teplou",554995,"Bečov nad Teplou",1,210,"KOALICE ODS A KDU-ČSL S PODPOROU SOUKROMNÍKŮ","KOALICE ODS+KDU-ČSL","KDU-ČSL+ODS","001,053",336,5.72,"A",3,0
4,61,10,"Ing.","MAREK","POLEDNÍČEK","","Ing. MAREK POLEDNÍČEK",54,FALSE,TRUE,"místostarosta města Ostrov",555428,"Ostrov",1,210,"KOALICE ODS A KDU-ČSL S PODPOROU SOUKROMNÍKŮ","KOALICE ODS+KDU-ČSL","KDU-ČSL+ODS","001,053",312,5.31,"A",4,0
